question,original_answer,generated_answer
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,['Saint Bernadette Soubirous'],Saint Bernadette Soubirous
What is in front of the Notre Dame Main Building?,['a copper statue of Christ'],a copper statue of Christ
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,['the Main Building'],Main Building
What is the Grotto at Notre Dame?,['a Marian place of prayer and reflection'],a Marian place of prayer and reflection
What sits on top of the Main Building at Notre Dame?,['a golden statue of the Virgin Mary'],a golden statue of the Virgin Mary
When did the Scholastic Magazine of Notre dame begin publishing?,['September 1876'],September 1876
How often is Notre Dame's the Juggler published?,['twice'],twice a year
What is the daily student paper at Notre Dame called?,['The Observer'],The Observer
How many student news papers are found at Notre Dame?,['three'],three
In what year did the student paper Common Sense begin publication at Notre Dame?,['1987'],1987
Where is the headquarters of the Congregation of the Holy Cross?,['Rome'],Rome
What is the primary seminary of the Congregation of the Holy Cross?,['Moreau Seminary'],Moreau Seminary
What is the oldest structure at Notre Dame?,['Old College'],Old College
What individuals live at Fatima House at Notre Dame?,['Retired priests and brothers'],Retired priests and brothers
Which prize did Frederick Buechner create?,['Buechner Prize for Preaching'],Buechner Prize for Preaching
How many BS level degrees are offered in the College of Engineering at Notre Dame?,['eight'],eight
In what year was the College of Engineering at Notre Dame formed?,['1920'],1920
Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,['the College of Science'],College of Science
How many departments are within the Stinson-Remick Hall of Engineering?,['five'],five
The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,['the 1870s'],1870s
What entity provides help with the management of time for new students at Notre Dame?,['Learning Resource Center'],Learning Resource Center
How many colleges for undergraduates are at Notre Dame?,['five'],five
What was created at Notre Dame in 1962 to assist first year students?,['The First Year of Studies program'],The First Year of Studies program
"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",['U.S. News & World Report'],U.S. News & World Report
The granting of Doctorate degrees first occurred in what year at Notre Dame?,['1924'],1924
What type of degree is an M.Div.?,['Master of Divinity'],Master of Divinity
Which program at Notre Dame offers a Master of Education degree?,['Alliance for Catholic Education'],Alliance for Catholic Education
In what year was a Master of Arts course first offered at Notre Dame?,['1854'],1854–1855
Which department at Notre Dame is the only one to not offer a PhD program?,['Department of Pre-Professional Studies'],Department of Pre-Professional Studies
What institute at Notre Dame studies  the reasons for violent conflict?,['Joan B. Kroc Institute for International Peace Studies'],Joan B. Kroc Institute for International Peace Studies
What is the title of Notre Dame's Theodore Hesburgh?,['President Emeritus of the University of Notre Dame'],President Emeritus
In what year was the Joan B. Kroc Institute for International Peace Studies founded?,['1986'],1986
To whom was John B. Kroc married?,['Ray Kroc'],Ray Kroc
What company did Ray Kroc own?,"[""McDonald's""]",McDonald's
How many stories tall is the main library at Notre Dame?,['14'],14
What is the name of the main library at Notre Dame?,['Theodore M. Hesburgh Library'],Theodore M. Hesburgh Library
In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,['1963'],1963
Which artist created the mural on the Theodore M. Hesburgh Library?,['Millard Sheets'],Millard Sheets
What is a common name to reference the mural created by Millard Sheets at Notre Dame?,['Touchdown Jesus'],Touchdown Jesus
How many incoming students did Notre Dame admit in fall 2015?,['3,577'],3,577
What percentage of students were admitted to Notre Dame in fall 2015?,['19.7%'],19.7%).
Where does Notre Dame rank in terms of academic profile among research universities in the US?,['the top 10 to 15 in the nation'],top 10 to 15
What percentage of students at Notre Dame participated in the Early Action program?,['39.1%'],39.1%)
How many miles does the average student at Notre Dame travel to study there?,['more than 750 miles'],750
Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,['18th overall'],18th
Forbes.com placed Notre Dame at what position compared to other US research universities?,['8th'],8th
The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?,['1st overall'],1st overall
In 2014 what entity named Notre Dame 10th best of all American universities?,['USA Today'],USA Today
What percentage of Notre Dame students decide to study abroad?,['57.6%'],57.6%
What person was the Director of the Science Museum at Notre Dame in the late 19th century?,['Father Joseph Carrier, C.S.C.'],Father Joseph Carrier
What was the lifespan of John Augustine Zahm?,['1851–1921'],1851–1921
What program did John Augustine Zahm come to co-direct at Nore Dame?,['the Science Department'],Science Department
What book did John Zahm write in 1896?,['Evolution and Dogma'],Evolution and Dogma
What professorship did Father Josh Carrier hold at Notre Dame?,['Professor of Chemistry and Physics'],Professor of Chemistry and Physics
In what year did Albert Zahm begin comparing aeronatical models at Notre Dame?,['1882'],1882
Which professor sent the first wireless message in the USA?,['Professor Jerome Green'],Professor Jerome Green
In what year did Jerome Green send his first wireless message?,['Around 1899'],1899
Which individual worked on projects at Notre Dame that eventually created neoprene?,['Father Julius Nieuwland'],Father Julius Nieuwland
What did the brother of John Zahm construct at Notre Dame?,['an early wind tunnel'],wind tunnel
Work on a germ-free-life ended up in the creation of which Notre Dame institute?,['The Lobund Institute'],The Lobund Institute
Around what time did Lobund of Notre Dame become independent?,['the 1940s'],1940s
In what year did Lobund at Notre Dame become an Institute?,['1950'],1950
The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,['1958'],1958
When did study of a germ-free-life begin at Notre Dame?,['1928'],1928
Gurian created what in 1939 at Notre Dame?,['The Review of Politics'],The Review of Politics
What was the Review of Politics inspired by?,['German Catholic journals'],German Catholic journals
Over how many years did Gurian edit the Review of Politics at Notre Dame?,['44'],44
Thomas Stritch was an editor of which publican from Notre Dame?,['Review of Politics'],The Review of Politics
Who was the president of Notre Dame in 2012?,['John Jenkins'],John Jenkins
The Kellogg Institute for International Studies is part of which university?,['Notre Dame'],Notre Dame
What does the Kroc Institute at Notre Dame focus on?,['International Peace studies'],International Peace studies
In what year did Notre Dame begin to host the Global Adaptation Index?,['2013'],2013
What threat does the Global Adaptation Index study?,['climate change'],climate change
How many undergrads were attending Notre Dame in 2014?,['8,448'],8,448
What percentage of students at Notre Dame are the children of former Notre Dame students?,['21–24%'],21–24%
How many teams participate in the Notre Dame Bookstore Basketball tournament?,['over 700'],over 700
For what cause is money raised at the Bengal Bouts tournament at Notre Dame?,['the Holy Cross Missions in Bangladesh'],Holy Cross Missions in Bangladesh
How many students in total were at Notre Dame in 2014?,['12,179'],12,179
What percentage of undergrads live on the Notre Dame campus?,['80%'],80%
How many student housing areas are reserved for Notre Dame's graduate students?,['four'],four
How many dorms for males are on the Notre Dame campus?,['15'],15
What amount of the graduate student body at Notre Dame live on the campus?,['20%'],20%
There are how many dorms for females at Notre Dame?,['14'],14
What is Congregation of Holy Cross in Latin?,['Congregatio a Sancta Cruce'],Congregatio a Sancta Cruce
What percentage of Notre Dame students feel they are Christian?,['more than 93%'],93%
How often is Catholic mass held at Notre Dame in a week?,['over 100 times'],over 100 times
How many chapels are on the Notre Dame campus?,['Fifty-seven'],Fifty-seven
What amount of the student body of Notre Dame identifies as Catholic?,['over 80%'],over 80%
What was the music hall at Notre Dame called?,['Washington Hall'],Washington Hall
In what year was the Main Building at Notre Dame razed in a fire?,['1879'],1879
Who was the president of Notre Dame in 1879?,['Rev. William Corby'],William Corby
On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,['17th of May'],17th of May
What did the Science Hall at Notre Dame come to be known as?,['LaFortune Student Center'],LaFortune Student Center
What type of education was pushed at Notre Dame before its embracing of national standards?,['scholastic and classical'],scholastic and classical emphasis
Which college did Notre Dame add in 1921?,['College of Commerce'],College of Commerce
In 1919 a new president of Notre Dame was named, who was it?,['Father James Burns'],Father James Burns
Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,['three years'],three
Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,['Harvard Law School'],Harvard Law School
The Notre Dame football team got a new head coach in 1918, who was it?,['Knute Rockne'],Knute Rockne
What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,['105'],105
